application_id,city,zip,application_submission_date,facility_type,sector,pv_capacity_kw,total_system_costs,total_rebate,mounting_location,ppa_lease,payment_status,geothermal_capacity_tons,solar_water_capacity_sq_ft,wind_capacity_kw
R00069,Newark,19711,2005-12-10 00:00:00,PV,Residential,3.6,28661.0,14330.5,,,Paid,,,
R00072,Rehoboth Beach,19971,2005-12-12 00:00:00,Geothermal,Residential,,11091.0,1500.0,,,Paid,2.5,,
R00071,Laurel,19956,2005-12-12 00:00:00,Geothermal,Residential,,20736.0,2700.0,,,Paid,4.5,,
R00070,Hockessin,19707,2005-12-13 00:00:00,Geothermal,Residential,,12400.0,2400.0,,,Paid,4.0,,
R00073,Hockessin,19707,2005-12-23 00:00:00,Geothermal,Residential,,18625.0,3000.0,,,Paid,5.0,,
NR00016,Wilmington,19808,2006-01-13 00:00:00,PV,Non_Residential,46.7,524287.0,250000.0,,,Paid,,,
R00075,Hockessin,19707,2006-01-13 00:00:00,Geothermal,Residential,,15689.0,3000.0,,,Paid,5.0,,
R00076,Wilmington,19808,2006-01-13 00:00:00,Geothermal,Residential,,8900.0,1250.0,,,Paid,2.5,,
R00077,Wilmington,19803,2006-01-13 00:00:00,Geothermal,Residential,,12852.0,1800.0,,,Paid,3.0,,
R00078,Fenwick Island,19944,2006-01-17 00:00:00,PV,Residential,5.25,51532.0,22500.0,,,Paid,,,
R00082,Newark,19711,2006-01-25 00:00:00,PV,Residential,5.2,41840.0,20920.0,,,Paid,,,
NR00014,Rehoboth Beach,19971,2006-02-02 00:00:00,PV,Non_Residential,4.8,40300.0,20150.0,,,Paid,,,
NR00013,Middletown,19709,2006-02-06 00:00:00,Geothermal,Non_Residential,,11750.0,2400.0,,,Paid,4.0,,
R00083,Dagsboro,19939,2006-02-10 00:00:00,Geothermal,Residential,,20975.0,3000.0,,,Paid,5.0,,
R00084,Rehoboth Beach,19971,2006-02-22 00:00:00,Geothermal,Residential,,21330.0,3000.0,,,Paid,6.0,,
R00085,Bear,19701,2006-03-01 00:00:00,PV,Residential,6.0,54000.0,21375.0,,,Paid,,,
NR00017,Wilmington,19801,2006-03-10 00:00:00,PV,Non_Residential,70.0,525000.0,246257.65,,,Paid,,,
R00087,Wilmington,19810,2006-03-13 00:00:00,Geothermal,Residential,,15000.0,2400.0,,,Paid,4.0,,
NR00018,Townsend,19734,2006-03-16 00:00:00,PV,Non_Residential,9.99,74405.0,37197.5,,,Paid,,,
R00090,Ocean View,19970,2006-03-18 00:00:00,PV,Residential,1.5,16381.08,8190.54,,,Paid,,,
R00086,Middletown,19709,2006-03-20 00:00:00,PV,Residential,2.8,23100.0,11500.0,,,Paid,,,
R00096,Clarksville,19970,2006-03-22 00:00:00,Geothermal,Residential,,20950.0,2500.0,,,Paid,7.5,,
R00094,Townsend,19734,2006-03-23 00:00:00,Geothermal,Residential,,13648.0,2100.0,,,Paid,3.5,,
R00095,Dagsboro,19939,2006-03-23 00:00:00,Geothermal,Residential,,23150.0,3000.0,,,Paid,5.0,,
R00091,Greenville,19807,2006-03-24 00:00:00,PV,Residential,6.0,49500.0,22500.0,,,Paid,,,
R00092,Bear,19701,2006-03-28 00:00:00,Geothermal,Residential,,27593.0,3000.0,,,Paid,5.0,,
R00089,South Bethany Beach,19930,2006-03-30 00:00:00,Geothermal,Residential,,17000.0,3000.0,,,Paid,2.0,,
R00088,Clarksville,19970,2006-03-30 00:00:00,PV,Residential,2.4,21600.0,10800.0,,,Paid,,,
R00103,Smyrna,19977,2006-04-07 00:00:00,Geothermal,Residential,,21850.0,3000.0,,,Paid,5.0,,
R00097,Wilmington,19802,2006-04-18 00:00:00,PV,Residential,2.4,19539.0,9769.5,,,Paid,,,
R00074,Wilmington,19807,2006-04-20 00:00:00,Geothermal,Residential,,66385.0,3000.0,,,Paid,5.0,,
R00174,Dover,19904,2006-05-11 00:00:00,Geothermal,Residential,,23754.0,3000.0,,,Paid,8.0,,
R00098,Wilmington,19808,2006-05-19 00:00:00,PV,Residential,6.0,45000.0,22500.0,,,Paid,,,
R00100,Millsboro,19966,2006-05-19 00:00:00,Geothermal,Residential,,25775.0,3000.0,,,Paid,8.0,,
NR00019,Middletown,19709,2006-05-19 00:00:00,PV,Non_Residential,12.0,84000.0,42000.0,,,Paid,,,
R00099,Newark,19711,2006-05-19 00:00:00,PV,Residential,6.0,45000.0,22500.0,,,Paid,,,
R00105,Wilmington,19803,2006-05-23 00:00:00,Geothermal,Residential,,41897.0,3000.0,,,Paid,10.0,,
R00130,Seaford,19973,2006-05-31 00:00:00,Geothermal,Residential,,11695.0,2100.0,,,Paid,3.5,,
R00102,Bear,19701,2006-06-02 00:00:00,PV,Residential,3.6,33800.0,16900.0,,,Paid,,,
R00106,Rehoboth Beach,19971,2006-06-02 00:00:00,PV,Residential,3.0,30947.0,15473.5,,,Paid,,,
R00101,Milton,19968,2006-06-02 00:00:00,PV,Residential,2.8,25200.0,12600.0,,,Paid,,,
R00111,Milton,19968,2006-06-05 00:00:00,Geothermal,Residential,,7000.0,1500.0,,,Paid,3.0,,
R00109,Hockessin,19707,2006-06-05 00:00:00,Geothermal,Residential,,37964.0,3000.0,,,Paid,5.0,,
R00107,Bear,19701,2006-06-08 00:00:00,PV,Residential,5.0,47500.0,22500.0,,,Paid,,,
R00117,Bethany Beach,19930,2006-06-23 00:00:00,Geothermal,Residential,,14550.0,1500.0,,,Paid,2.5,,
R00115,Camden-Wyoming,19934,2006-06-23 00:00:00,PV,Residential,3.6,29988.0,14994.0,,,Paid,,,
R00114,New Castle,19720,2006-06-23 00:00:00,PV,Residential,3.6,29880.0,14940.0,,,Paid,,,
R00116,Hockessin,19707,2006-06-23 00:00:00,PV,Residential,3.6,29880.0,14940.0,,,Paid,,,
R00119,Dagsboro,19939,2006-06-27 00:00:00,Geothermal,Residential,,15920.0,2400.0,,,Paid,4.0,,
R00118,Wilmington,19803,2006-07-10 00:00:00,Geothermal,Residential,,19500.0,2400.0,,,Paid,4.0,,
R00122,Newark,19713,2006-07-13 00:00:00,Geothermal,Residential,,17500.0,2400.0,,,Paid,4.0,,
R00121,Hockessin,19707,2006-07-13 00:00:00,Geothermal,Residential,,34000.0,3000.0,,,Paid,7.0,,
R00124,Rehoboth Beach,19971,2006-07-19 00:00:00,Geothermal,Residential,,25630.0,3000.0,,,Paid,6.0,,
NR00020,New Castle,19720,2006-07-21 00:00:00,PV,Non_Residential,10.0,92640.0,46320.0,,,Paid,,,
R00108,New Castle,19720,2006-07-21 00:00:00,PV,Residential,3.6,34188.0,17094.0,,,Paid,,,
R00123,Fenwick Island,19944,2006-08-01 00:00:00,PV,Residential,4.9,49890.5,22500.0,,,Paid,,,
R00126,Camden-Wyoming,19934,2006-08-04 00:00:00,PV,Residential,4.8,40560.0,20280.0,,,Paid,,,
R00129,Wilmington,19810,2006-08-04 00:00:00,PV,Residential,4.8,39000.0,19500.0,,,Paid,,,
R00127,Bear,19701,2006-08-04 00:00:00,Geothermal,Residential,,14300.0,1500.0,,,Paid,2.5,,
R00128,Hockessin,19707,2006-08-04 00:00:00,Geothermal,Residential,,21000.0,3000.0,,,Paid,5.0,,
R00132,Millsboro,19966,2006-08-14 00:00:00,Geothermal,Residential,,16395.0,2400.0,,,Paid,4.0,,
R00133,Harrington,19952,2006-08-14 00:00:00,Geothermal,Residential,,16185.0,1800.0,,,Paid,3.0,,
R00134,Selbyville,19975,2006-08-14 00:00:00,Geothermal,Residential,,17120.0,2400.0,,,Paid,4.0,,
NR00021,Rehoboth Beach,19971,2006-08-16 00:00:00,PV,Non_Residential,24.0,252879.0,126439.5,,,Paid,,,
R00139,Hockessin,19707,2006-09-05 00:00:00,Geothermal,Residential,,22495.0,3000.0,,,Paid,5.0,,
R00135,Seaford,19973,2006-09-07 00:00:00,Geothermal,Residential,,13917.0,2100.0,,,Paid,3.5,,
R00104,Rehoboth Beach,19971,2006-09-14 00:00:00,Geothermal,Residential,,50492.0,3000.0,,,Paid,13.5,,
R00138,Georgetown,19947,2006-09-19 00:00:00,Geothermal,Residential,,19690.0,3000.0,,,Paid,5.0,,
R00140,Newark,19711,2006-09-21 00:00:00,Geothermal,Residential,,18975.0,2100.0,,,Paid,3.5,,
R00141,Newark,19702,2006-09-24 00:00:00,PV,Residential,5.0,45000.0,22500.0,,,Paid,,,
