,year,category,economic_sectors,source,type,fuel_type,gas,value_mmtco2e
74,1991,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Coal,N2O,0.022858239
75,1991,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.004561724399999999
76,1991,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0004184456399999999
77,1991,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Coal,CH4,0.001278425
78,1991,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00191985325
79,1991,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00037054749999999994
80,1991,Estimate,Electric power - in-state generation,Transmission and Distribution,Non-Energy,N/A,SF6,0.07519732259306673
81,1991,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,0.6796111217927736
82,1991,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.0026612738649445687
83,1991,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CH4,0.0003072410825250055
84,1991,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CO2,5.078857902053986
85,1991,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0
86,1991,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.21988719263719278
87,1991,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00002067651676930432
88,1991,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.027024844418917886
89,1991,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,7.135132514520379E-7
90,1991,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.0009812996308734665
91,1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0.07550774475767996
92,1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,2.1279291431619733
93,1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.8448577785946852
94,1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0.00037576277999999984
95,1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.005415575999999999
96,1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00045340290000000003
97,1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.00028507599999999994
98,1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0.00023232071399999994
99,1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0021909789999999996
100,1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0003859612499999999
101,1991,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.0001723645
102,1991,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.18350915719719102
103,1991,Estimate,Industrial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.000221882000591214
104,1991,Estimate,Industrial,Natural Gas and Oil Systems,Non-Energy,N/A,CH4,0.17480779373542255
105,1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CO2,0.008409558599999999
106,1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.702034144939776
107,1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.3835442916756
108,1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,N2O,0.00004185000000000001
109,1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0018319139999999998
110,1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00020188439999999997
111,1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,N2O,0.0014866360000000002
112,1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CH4,0.0005683041
113,1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0020724265799999995
114,1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.0007217910000000002
115,1991,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,CH4,0.00754962474
116,1991,Estimate,Residential,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.00003949046743295156
117,1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CO2,0.038310211399999995
118,1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.3100923378325896
119,1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.2269144710701
120,1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,N2O,0.00019065
121,1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0008051939999999999
122,1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00011943990000000001
123,1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,N2O,0.000161386
124,1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Coal,CH4,0.00008627219999999999
125,1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0009109081799999999
126,1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00042702975
127,1991,Estimate,Commercial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00081957099
128,1991,Estimate,Commercial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.0002593761377978751
129,1991,Estimate,Agricultural,Enteric Fermentation,Non-Energy,N/A,CH4,0.05917104527348198
130,1991,Estimate,Agricultural,Manure Management,Non-Energy,N/A,N2O,0.15294398997103245
131,1991,Estimate,Agricultural,Manure Management,Non-Energy,N/A,CH4,0.03967189392953326
132,1991,Estimate,Agricultural,Agricultural Soil Management,Non-Energy,N/A,N2O,0.3965415415831647
133,1991,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,N2O,0.0001078532897357408
134,1991,Estimate,Agricultural,Burning of Agricultural Crop Waste,Non-Energy,N/A,CH4,0.00021715579927078364
135,1991,Estimate,Agricultural,Liming and Urea,Non-Energy,N/A,CO2,0.00014639922586107834
136,1991,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,N2O,0.018788611214939997
137,1991,Estimate,Waste Management,Municipal WWT,Non-Energy,N/A,CH4,0.045770348885625
138,1991,Estimate,Waste Management,Industrial WWT,Non-Energy,N/A,CH4,0.04887179816840806
139,1991,Estimate,Waste Management,Landfill Fugitive Emissions,Non-Energy,N/A,CH4,0.37599742330572156
140,1991,Estimate,Waste Management,MSW Incineration,Non-Energy,N/A,CO2,0.06417097664259959
141,1991,Estimate,"Land-use, land-use change, forestry",Total Flux,Non-Energy,N/A,CO2,0.08377139396603417
142,1992,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Coal,CO2,3.991064157316999
143,1992,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Petroleum,CO2,2.311485705788967
144,1992,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.4564261878964333
145,1992,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Coal,N2O,0.019009569
146,1992,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0048553139999999995
147,1992,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00023094702
148,1992,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Coal,CH4,0.0010631749999999998
149,1992,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.00204341375
150,1992,Estimate,Electric power - in-state generation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00020451125
151,1992,Estimate,Electric power - in-state generation,Transmission and Distribution,Non-Energy,N/A,SF6,0.0748677697502612
152,1992,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CO2,1.5078892462890965
153,1992,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,N2O,0.005904709492973465
154,1992,Estimate,Electric power - consumption,Imported Electricity,Indirect,N/A,CH4,0.0006816920875802577
155,1992,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CO2,4.69726227327524
156,1992,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0
157,1992,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.22798104291853505
158,1992,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.000019660781538934814
159,1992,Estimate,Transportation,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.026207826265141346
160,1992,Estimate,Transportation,Fossil Fuel Combustion,Energy,Natural Gas,CH4,6.730993736444472E-7
161,1992,Estimate,Transportation,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.0031021756808408667
162,1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CO2,0
163,1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CO2,3.390618738895484
164,1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.9730983486105688
165,1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,N2O,0
166,1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.00703259313406469
167,1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.0005043641266010281
168,1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,N2O,0.00025562599999999995
169,1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Coal,CH4,0
170,1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0031620802499999997
171,1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Natural Gas,CH4,0.00044486125000000004
172,1992,Estimate,Industrial,Fossil Fuel Combustion,Energy,Wood,CH4,0.00015455825
173,1992,Estimate,Industrial,Industrial Processes,Non-Energy,N/A,CO2,0.18742980784714533
174,1992,Estimate,Industrial,"A/C, Refrigeration, other",Non-Energy,N/A,HFC,0.0007014340213678707
175,1992,Estimate,Industrial,Natural Gas and Oil Systems,Non-Energy,N/A,CH4,0.16064214419708486
176,1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CO2,0.000100288749
177,1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CO2,0.7050997011402105
178,1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,CO2,0.45048962616789995
179,1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,N2O,4.6499999999999994E-7
180,1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,N2O,0.0018376799999999997
181,1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Natural Gas,N2O,0.00023712210000000002
182,1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Wood,N2O,0.0015596719999999998
183,1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Coal,CH4,0.00000631449
184,1992,Estimate,Residential,Fossil Fuel Combustion,Energy,Petroleum,CH4,0.0020789496
