Application ID,City,Zip,Application Submission Date,Facility Type,Sector,PV Capacity (kW),Geothermal Capacity (tons),Wind Capacity (kW),Solar Water Capacity (sq ft),Total System Costs ($),Total Rebate,Mounting Location,PPA/Lease,Payment Status
5651,Newark,19702,01/16/2015,PV,residential,3750,,,,14775.00,3187.50,rooftop,lease,Pending
5653,Middletown,19709,02/23/2015,PV,residential,9075,,,,27900.00,5268.75,rooftop,owned,Paid
5656,Delmar,19940,02/10/2015,PV,residential,12600,,,,34500.00,6150.00,rooftop,owned,Paid
5657,Rehoboth Beach,19971,01/22/2015,PV,residential,6120,,,,21756.00,4530.00,rooftop,owned,Paid
5658,middletown,19709,01/29/2015,PV,residential,1500,,,,5980.00,1275.00,rooftop,owned,Unpaid
5660,Newark,19702,01/21/2015,PV,residential,8250,,,,32505.00,5062.50,rooftop,lease,Unpaid
5662,Magnolia,19962,01/21/2015,PV,residential,11000,,,,43340.00,5750.00,rooftop,lease,Pending
5663,Rehoboth Beach,19971,01/28/2015,PV,residential,16200,,,,50219.00,7050.00,rooftop,owned,Paid
5664,Millsboro,19966,01/21/2015,PV,residential,8415,,,,41234.00,5103.75,rooftop,lease,Paid
5665,Newark,19702,01/21/2015,PV,residential,3825,,,,27489.00,3251.25,rooftop,ppa,Paid
5667,Dover,19901,01/21/2015,PV,residential,5000,,,,19700.00,4250.00,rooftop,lease,Pending
5669,Lewes,19958,07/17/2015,PV,non_profit,11000,,,,33000.00,14750.00,rooftop,lease,Paid
5670,Dover,19901,01/26/2015,PV,residential,8100,,,,28537.00,5025.00,rooftop,owned,Paid
5671,Harrington,19952,02/05/2015,Solar Water,residential,,,95.58,,12600.00,3090.00,,,Unpaid
5673,Rehoboth Beach,19971,01/21/2015,PV,residential,8160,,,,28152.00,5040.00,rooftop,owned,Paid
5676,Rehoboth Beach,19971,01/21/2015,PV,residential,7650,,,,25628.00,4912.50,rooftop,owned,Paid
5677,Rehoboth Beach,19971,01/21/2015,PV,residential,4000,,,,15400.00,3400.00,rooftop,owned,Paid
5678,Camden,19934,01/26/2015,PV,residential,10800,,,,28360.00,5700.00,ground,owned,Paid
5679,Wilmington,19808,01/27/2015,PV,residential,5500,,,,19346.00,4375.00,rooftop,owned,Paid
5680,Milton,19968,01/22/2015,PV,residential,5100,,,,10600.00,4275.00,rooftop,ppa,Paid
5682,Dover,19901,02/26/2015,PV,residential,4400,,,,24702.00,3740.00,rooftop,owned,Paid
5684,Rehoboth Beach,19971,01/27/2015,PV,residential,17550,,,,57370.00,7387.50,rooftop,owned,Paid
5685,Dover,19901,01/23/2015,PV,residential,8250,,,,32384.00,5062.50,rooftop,owned,Paid
5686,Wilmington,19808,01/22/2015,PV,residential,5100,,,,25500.00,4275.00,rooftop,lease,Paid
5687,Lewes,19958,01/23/2015,PV,residential,8250,,,,24750.00,5062.50,rooftop,lease,Paid
5688,Milton,19968,04/02/2015,PV,residential,5000,,,,25000.00,4250.00,rooftop,lease,Paid
5692,Middleton,19709,01/23/2015,PV,residential,5500,,,,21670.00,4375.00,rooftop,ppa,Pending
