district,year,month,system_cost,system_count,rebate,capacity,date,rebate_eff(W/$),tech_cost($/W)
16,2022,9,188501.0,3,14472.0,36280.0,1/9/22,2.51,5.2
17,2022,9,122998.0,3,18072.0,35610.0,1/9/22,1.97,3.45
20,2022,9,86072.0,2,10476.0,19035.0,1/9/22,1.82,4.52
21,2022,9,62905.0,2,12232.0,16910.0,1/9/22,1.38,3.72
3,2022,10,692744.0,22,113800.0,183820.0,1/10/22,1.62,3.77
4,2022,10,147438.0,4,26880.0,48795.0,1/10/22,1.82,3.02
5,2022,10,23940.0,1,4032.0,5040.0,1/10/22,1.25,4.75
6,2022,10,368174.0,11,78672.0,125625.0,1/10/22,1.6,2.93
8,2022,10,461015.0,12,74672.0,119470.0,1/10/22,1.6,3.86
10,2022,10,625665.0,17,127964.0,203135.0,1/10/22,1.59,3.08
13,2022,10,1062577.0,27,177492.0,285685.0,1/10/22,1.61,3.72
14,2022,10,186561.0,4,26616.0,45230.0,1/10/22,1.7,4.12
15,2022,10,137814.0,2,14156.0,25330.0,1/10/22,1.79,5.44
17,2022,10,58496.0,2,10044.0,12555.0,1/10/22,1.25,4.66
19,2022,10,54616.0,1,8000.0,11900.0,1/10/22,1.49,4.59
20,2022,10,237190.0,8,67005.0,92200.0,1/10/22,1.38,2.57
21,2022,10,45077.0,2,13776.0,18170.0,1/10/22,1.32,2.48
3,2022,11,452863.0,12,72196.0,103415.0,1/11/22,1.43,4.38
4,2022,11,71933.0,2,14132.0,21435.0,1/11/22,1.52,3.36
5,2022,11,70971.0,2,8416.0,14700.0,1/11/22,1.75,4.83
6,2022,11,196894.0,6,44696.0,71050.0,1/11/22,1.59,2.77
8,2022,11,730659.0,18,100484.0,176680.0,1/11/22,1.76,4.14
10,2022,11,468021.0,16,127952.0,165255.0,1/11/22,1.29,2.83
13,2022,11,476599.0,12,75772.0,128620.0,1/11/22,1.7,3.71
14,2022,11,123006.0,3,10276.0,28885.0,1/11/22,2.81,4.26
15,2022,11,54982.0,1,4032.0,12240.0,1/11/22,3.04,4.49
17,2022,11,192724.0,5,32296.0,47850.0,1/11/22,1.48,4.03
18,2022,11,14876.0,1,3552.0,4440.0,1/11/22,1.25,3.35
20,2022,11,357892.0,12,89837.32,107595.4,1/11/22,1.2,3.33
3,2022,12,718606.0,21,136268.0,184825.0,1/12/22,1.36,3.89
5,2022,12,25900.0,1,3626.0,5180.0,1/12/22,1.43,5.0
6,2022,12,250163.0,9,63088.0,89025.0,1/12/22,1.41,2.81
