region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_median,number_of_panels_total,kw_median,kw_total,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,yearly_sunlight_kwh_median,yearly_sunlight_kwh_total,install_size_kw_buckets_json,carbon_offset_metric_tons,existing_installs_count
10001042000,Delaware,39.116790771484375,39.00455856323242,-75.59770965576172,-75.74268341064453,39.060333251953125,-75.67520141601562,1032.75,5.0,0.7900677200902935,71.42857142857143,34.0,83.0,17.0,7.0,0.0,22.0,141.0,5.5,35.25,9457.002880859374,25930.16931152344,4552.461584472656,1871.1946899414063,0.0,6538.857006835938,41810.82846679687,"[[0,2],[5,2],[15,1]]",26.569135462886308,0.0
10001042100,Delaware,39.115840911865234,39.03350067138672,-75.54595184326172,-75.6490478515625,39.07298278808594,-75.59616088867188,1032.75,1334.0,82.18495013599275,73.57970215113072,3718.0,23985.0,13271.0,15420.0,5344.0,37.0,61738.0,9.25,15434.5,987509.9950134278,7688036.896948242,3800777.1627685553,4481946.567388915,1606430.7381774904,11053.209393310546,18564701.360296637,"[[0,280],[5,445],[10,322],[15,139],[20,76],[25,20],[30,18],[35,7],[40,6],[45,4],[50,5],[55,3],[60,1],[70,1],[75,2],[80,1],[90,1],[130,1],[185,1],[195,1]]",11797.136850838848,4.0
10001042201,Delaware,39.1161003112793,39.04246139526367,-75.46185302734375,-75.55767822265625,39.07938766479492,-75.51622772216797,1032.75,3004.0,106.61636680208936,81.76374523679912,6209.0,51173.0,30800.0,34202.0,19870.0,36.0,142254.0,9.0,35563.5,1644889.81171875,16569074.534515385,8875996.629144283,10065699.58880005,6085656.644305419,11113.790258789062,43241317.20848387,"[[0,543],[5,1113],[10,771],[15,308],[20,110],[25,79],[30,31],[35,6],[40,6],[45,5],[50,5],[55,2],[60,2],[65,2],[70,2],[80,4],[85,2],[105,2],[120,2],[130,1],[140,1],[155,1],[200,1],[225,1],[230,1],[245,1],[450,1],[1240,1]]",27478.154742095256,7.0
10001042202,Delaware,39.08747100830078,39.01018905639648,-75.45719146728516,-75.55581665039062,39.04579544067383,-75.49540710449219,1032.75,1693.0,67.97900262467192,81.7084942084942,5063.0,29610.0,17879.0,16386.0,3040.0,38.0,71978.0,9.5,17994.5,1379866.8270202638,9603712.777722169,5275760.399676515,4811270.849823,932342.9822814942,11636.315100097656,22002953.83652344,"[[0,282],[5,622],[10,462],[15,221],[20,72],[25,17],[30,6],[35,3],[40,1],[45,1],[55,1],[60,1],[70,1],[95,1],[125,1],[260,1]]",13982.010940789456,8.0
10001042800,Delaware,39.04158020019531,38.940650939941406,-75.50048828125,-75.73867797851562,38.98931884765625,-75.62470245361328,1032.75,21.0,1.4452214452214451,67.74193548387096,81.0,407.0,274.0,169.0,72.0,44.0,1003.0,11.0,250.75,21156.87062988281,131914.0010253906,80447.97285766601,48609.937689208986,22204.793627929685,11779.291491699218,304333.5758300781,"[[5,8],[10,8],[15,4],[25,1]]",193.39200629700863,0.0
10001043202,Delaware,39.36582946777344,38.93703842163086,-75.30677032470703,-75.54963684082031,39.13801193237305,-75.42948913574219,1032.75,488.0,39.512471655328795,70.01434720229555,2395.0,7539.0,6041.0,6663.0,1925.0,37.0,24563.0,9.25,6140.75,640739.8680725096,2470880.751147462,1734500.5530883782,1947994.874206543,574916.6695129395,11204.340991210936,7369032.716027836,"[[0,109],[5,154],[10,110],[15,54],[20,27],[25,13],[30,4],[35,5],[40,3],[50,3],[55,1],[65,1],[70,1],[135,1],[240,1],[250,1]]",4682.730183595042,3.0
10001043300,Delaware,39.20232009887695,39.15888977050781,-75.52826690673828,-75.57119750976562,39.18083572387695,-75.54678344726562,1032.75,1034.0,96.98245614035088,74.8191027496382,6422.0,19102.0,13983.0,18836.0,126284.0,30.0,184627.0,7.5,46156.75,1688245.5651977533,6145529.9753662115,3939159.7477355967,5618842.283026122,38811235.953027345,8971.943823242187,56203013.52435304,"[[0,325],[5,302],[10,129],[15,61],[20,27],[25,24],[30,15],[35,11],[40,10],[45,8],[50,5],[55,6],[60,9],[65,6],[70,8],[75,2],[80,1],[85,2],[90,3],[95,4],[105,1],[110,3],[115,3],[120,5],[125,3],[130,3],[135,3],[140,1],[150,3],[155,1],[160,3],[170,2],[175,1],[185,1],[190,3],[200,2],[205,1],[210,1],[215,2],[220,1],[225,1],[235,1],[240,2],[245,1],[250,1],[295,1],[305,2],[320,1],[355,1],[360,2],[365,1],[425,1],[520,1],[555,1],[575,1],[590,1],[630,1],[665,1],[765,1],[965,1],[1195,1],[1205,1],[1215,1],[1305,1],[1320,1],[1540,1],[1645,1],[1825,1],[1860,1],[4610,1]]",35714.80246885825,8.0
10003000200,Delaware,39.77301025390625,39.756248474121094,-75.51808166503906,-75.53898620605469,39.76458740234375,-75.52821350097656,1020.0,1268.0,98.5091743119266,73.80675203725262,2433.0,6657.0,5269.0,6298.0,26259.0,18.0,46916.0,4.5,11729.0,645538.6626037598,2061527.4050537108,1468857.674969482,1883697.8735778804,7825705.677813718,5262.476586914062,13885327.294018555,"[[0,703],[5,400],[10,76],[15,18],[20,9],[25,4],[30,8],[35,5],[40,4],[45,4],[50,3],[55,6],[60,1],[65,3],[70,1],[75,3],[80,2],[90,2],[95,2],[110,2],[130,1],[135,1],[140,1],[160,2],[180,1],[185,1],[195,1],[225,1],[330,1],[350,1],[425,1]]",8823.578851451413,0.0
10003000300,Delaware,39.766231536865234,39.75577163696289,-75.53401947021484,-75.5427474975586,39.760894775390625,-75.5391616821289,1020.0,592.0,97.8616352201258,76.09254498714652,776.0,2426.0,1603.0,2010.0,11503.0,21.0,18318.0,5.25,4579.5,211061.77188110352,765866.0236206056,449099.30562744144,590235.3723144529,3395488.1071350113,6077.337719726563,5411750.580578612,"[[0,280],[5,189],[10,80],[15,23],[20,4],[25,1],[30,3],[35,2],[40,4],[45,1],[65,1],[70,1],[95,1],[105,1],[125,1]]",3438.9544416927965,0.0
10003000400,Delaware,39.764610290527344,39.75226974487305,-75.54141998291016,-75.55719757080078,39.75883865356445,-75.54794311523438,1020.0,438.0,98.92966360856268,67.69706336939721,545.0,3480.0,1747.0,4071.0,8156.0,23.0,17999.0,5.75,4499.75,146144.41205444332,1083680.9472534184,479289.165374756,1189955.8069519042,2422103.4413818363,6866.546533203124,5321173.773016358,"[[0,174],[5,160],[10,64],[15,10],[20,5],[25,5],[30,2],[40,2],[45,5],[50,3],[60,1],[70,2],[75,2],[115,1],[205,1],[415,1]]",3381.3964463560533,0.0
